Label	Category	Name
erm.40.	Established	erm(40)
Erm.41.	Established	Erm(41)
Erm.44.v	Established	Erm(44)v
Erm.47.	Established	Erm(47)
Erm.49.	Established	Erm(49)
ErmE	Established	ErmE
ErmH	Established	ErmH
ErmN	Established	ErmN
Erm.O..lrm	Established	Erm(O)-lrm
ErmO.srmA	Established	ErmO-srmA
ErmQ	Established	ErmQ
ErmR	Established	ErmR
ErmS	Established	ErmS
ErmU	Established	ErmU
ErmV	Established	ErmV
ErmW	Established	ErmW
ErmY	Established	ErmY
ermZ	Established	ermZ
ERP.1	Established	ERP-1
ESP.1	Established	ESP-1
EVM.1	Established	EVM-1
FEZ.1	Established	FEZ-1
FIM.1	Established	FIM-1
FONA.1	Established	FONA-1
FRI.1	Established	FRI-1
FRI.5	Established	FRI-5
FTU.1	Established	FTU-1
GES.23	Established	GES-23
GMB.1	Established	GMB-1
GRD23.1	Established	GRD23-1
GRD33.1	Established	GRD33-1
HMB.1	Established	HMB-1
IDC.1	Established	IDC-1
IMI.5	Established	IMI-5
IND.1	Established	IND-1
IND.6	Established	IND-6
L1_BLA	Established	L1_BLA
mphL	Established	mphL
MSI.1	Established	MSI-1
MSI.OXA	Established	MSI-OXA
OXA.104	Established	OXA-104
OXA.18	Established	OXA-18
OXA.209	Established	OXA-209
OXA.269	Established	OXA-269
OXA.296	Established	OXA-296
OXA.45	Established	OXA-45
OXA.679	Established	OXA-679
OXA.727	Established	OXA-727
OXA.898	Established	OXA-898
PNGM.1	Established	PNGM-1
PSZ.1	Established	PSZ-1
QnrB31	Established	QnrB31
QnrB39	Established	QnrB39
RSA2.1	Established	RSA2-1
SMB.1	Established	SMB-1
SPG.1	Established	SPG-1
SPN79.1	Established	SPN79-1
SSA	Established	SSA
STA.1	Established	STA-1
tet.35.	Established	tet(35)
tet.37.	Established	tet(37)
tet.38.	Established	tet(38)
tet.40.	Established	tet(40)
tet.43.	Established	tet(43)
tet.45.	Established	tet(45)
tet.47.	Established	tet(47)
tet.48.	Established	tet(48)
tet.49.	Established	tet(49)
tet.50.	Established	tet(50)
tet.51.	Established	tet(51)
tet.52.	Established	tet(52)
tet.53.	Established	tet(53)
tet.54.	Established	tet(54)
tet.55.	Established	tet(55)
tet.57.	Established	tet(57)
tet.62.	Established	tet(62)
tet.63.	Established	tet(63)
tetA.46.	Established	tetA(46)
tetA.58.	Established	tetA(58)
tetA.60.	Established	tetA(60)
tetA.P.	Established	tetA(P)
tetB.46.	Established	tetB(46)
tetB.58.	Established	tetB(58)
tetB.60.	Established	tetB(60)
tet.K.	Established	tet(K)
tet.L.	Established	tet(L)
tet.V.	Established	tet(V)
TLA.1	Established	TLA-1
TLA.2	Established	TLA-2
VHW.1	Established	VHW-1
GCA_003665095.1_ASM366509v1_RCHV01000002.1_seq1...tet_rpg	Latent	NA
GCA_014518425.1_ASM1451842v1_JACVCU010000003.1_seq1...tet_rpg	Latent	NA
GCA_001428505.1_Root181_LMHU01000009.1_seq1...tet_rpg	Latent	NA
GCA_003355155.1_ASM335515v1_CP031320.1_seq1...tet_rpg	Latent	NA
GCA_001429185.1_Root85_LMIW01000010.1_seq1...tet_rpg	Latent	NA
GCA_016128295.1_ASM1612829v1_CP065959.1_seq1...tet_rpg	Latent	NA
GCA_010548145.1_ASM1054814v1_JAAGLN010000242.1_seq1...tet_rpg	Latent	NA
GCA_033850635.1_ASM3385063v1_JAWWPT010000656.1_seq1...tet_rpg	Latent	NA
GCA_036010505.1_ASM3601050v1_CP108569.1_seq1...tet_rpg	Latent	NA
GCA_030417515.1_ASM3041751v1_JASWDJ010000001.1_seq1...tet_rpg	Latent	NA
GCA_001424865.1_Root105_LMCR01000002.1_seq1...tet_rpg	Latent	NA
GCA_016863195.1_ASM1686319v1_BOOK01000068.1_seq1...tet_rpg	Latent	NA
GCA_001428045.1_Soil750_LMSD01000040.1_seq1...tet_rpg	Latent	NA
GCA_016905445.1_ASM1690544v1_JAFEXF010000026.1_seq1...tet_rpg	Latent	NA
GCA_034724055.1_ASM3472405v1_JAWIIL010000003.1_seq1...tet_rpg	Latent	NA
GCA_036557725.1_ASM3655772v1_DATBGX010000092.1_seq1...tet_rpg	Latent	NA
GCA_014192395.1_ASM1419239v1_JACHXW010000007.1_seq1...tet_rpg	Latent	NA
GCA_031570565.1_ASM3157056v1_JALHBK010000005.1_seq1...tet_rpg	Latent	NA
GCA_000720475.1_ASM72047v1_JOAP01000006.1_seq1...tet_rpg	Latent	NA
GCA_001418465.1_ASM141846v1_LIQU01000424.1_seq1...tet_rpg	Latent	NA
GCA_014137855.1_ASM1413785v1_JACGWT010000006.1_seq1...tet_rpg	Latent	NA
GCA_001418325.1_ASM141832v1_LIPN01000045.1_seq1...tet_rpg	Latent	NA
GCA_030010595.1_ASM3001059v1_JASCXL010000004.1_seq1...tet_rpg	Latent	NA
GCA_900112845.1_IMG.taxon_2667527403_annotated_assembly_FONG01000023.1_seq1...tet_rpg	Latent	NA
GCA_001704635.1_ASM170463v1_MAXF01000085.1_seq1...tet_rpg	Latent	NA
GCA_029239725.1_ASM2923972v1_JARBUL010000921.1_seq1...tet_rpg	Latent	NA
GCA_031845865.1_ASM3184586v1_JAVRFD010000036.1_seq1...tet_rpg	Latent	NA
GCA_009796285.1_ASM979628v1_CP047020.1_seq1...tet_rpg	Latent	NA
GCA_036061255.1_ASM3606125v1_CP107948.1_seq1...tet_rpg	Latent	NA
GCA_003945545.1_ASM394554v1_CP029617.1_seq1...tet_rpg	Latent	NA
GCA_011421595.1_ASM1142159v1_WTLH01000003.1_seq1...tet_rpg	Latent	NA
GCA_020037025.1_ASM2003702v1_JAIQLH010000001.1_seq1...tet_rpg	Latent	NA
GCA_017933235.1_ASM1793323v1_CP043957.1_seq1...tet_rpg	Latent	NA
GCA_002240225.1_ASM224022v1_CP022584.1_seq1...tet_rpg	Latent	NA
GCA_036038375.1_ASM3603837v1_CP107935.1_seq1...tet_rpg	Latent	NA
GCA_016464295.1_ASM1646429v1_JAEIMH010000046.1_seq1...tet_rpg	Latent	NA
GCA_036269395.1_ASM3626939v1_DATASB010000315.1_seq1...tet_rpg	Latent	NA
GCA_036498705.1_ASM3649870v1_DASYFA010000330.1_seq1...tet_rpg	Latent	NA
GCA_000720325.1_ASM72032v1_JOJM01000040.1_seq1...tet_rpg	Latent	NA
GCA_014645895.1_ASM1464589v1_BMMP01000011.1_seq1...tet_rpg	Latent	NA
GCA_016862975.1_ASM1686297v1_BONZ01000022.1_seq1...tet_rpg	Latent	NA
GCA_036345995.1_ASM3634599v1_CP107796.1_seq1...tet_rpg	Latent	NA
GCA_000721265.1_ASM72126v1_JOFZ01000001.1_seq1...tet_rpg	Latent	NA
GCA_001418385.1_ASM141838v1_LIQN01000424.1_seq1...tet_rpg	Latent	NA
GCA_003814875.1_ASM381487v1_RKQF01000001.1_seq1...tet_rpg	Latent	NA
GCA_005889725.1_ASM588972v1_VCKX01000034.1_seq1...tet_rpg	Latent	NA
GCA_008905045.1_ASM890504v1_VWMY01000002.1_seq1...tet_rpg	Latent	NA
GCA_025643355.1_ASM2564335v1_CP092644.1_seq1...tet_rpg	Latent	NA
GCA_003355155.1_ASM335515v1_CP031320.1_seq2...tet_rpg	Latent	NA
GCA_003370155.1_ASM337015v1_NJOD01000009.1_seq1...tet_rpg	Established	tet(M)
GCA_014253015.1_ASM1425301v1_JACLQY010000021.1_seq1...tet_rpg	Latent	NA
GCA_019056675.1_ASM1905667v1_CP077658.1_seq1...tet_rpg	Latent	NA
GCA_026342435.1_ASM2634243v1_JAPEMT010000003.1_seq1...tet_rpg	Latent	NA
GCA_034334985.1_ASM3433498v1_JAWXXL010000001.1_seq1...tet_rpg	Latent	NA
GCA_001418505.1_ASM141850v1_LIQO01000128.1_seq1...tet_rpg	Latent	NA
GCA_002261115.1_ASM226111v1_NDXL01000001.1_seq1...tet_rpg	Latent	NA
GCA_002920615.1_ASM292061v1_PQSU01000031.1_seq1...tet_rpg	Latent	NA
GCA_004795255.1_ASM479525v1_SSBQ01000002.1_seq1...tet_rpg	Latent	NA
GCA_012034305.1_ASM1203430v1_JAATER010000176.1_seq1...tet_rpg	Latent	NA
GCA_013002705.1_ASM1300270v1_JABEND010000003.1_seq1...tet_rpg	Latent	NA
GCA_013870515.1_ASM1387051v1_JACBXA010000176.1_seq1...tet_rpg	Latent	NA
GCA_022695595.1_ASM2269559v1_CP074380.1_seq1...tet_rpg	Latent	NA
GCA_029968015.1_ASM2996801v1_JASCIS010000010.1_seq1...tet_rpg	Latent	NA
GCA_036010325.1_ASM3601032v1_CP108549.1_seq1...tet_rpg	Latent	NA
GCA_900105385.1_IMG.taxon_2636416048_annotated_assembly_LT629772.1_seq1...tet_rpg	Latent	NA
GCA_014650335.1_ASM1465033v1_BMUT01000001.1_seq1...tet_rpg	Latent	NA
GCA_014650815.1_ASM1465081v1_BMVR01000002.1_seq1...tet_rpg	Latent	NA
GCA_019396405.1_ASM1939640v1_JAHKRL010000315.1_seq1...tet_rpg	Latent	NA
GCA_026340565.1_ASM2634056v1_JAPEPB010000002.1_seq1...tet_rpg	Latent	NA
GCA_029392895.1_ASM2939289v1_CP114200.1_seq1...tet_rpg	Latent	NA
GCA_003626535.1_ASM362653v1_RBAL01000003.1_seq1...tet_rpg	Latent	NA
GCA_013361465.1_ASM1336146v1_JABFYA010000230.1_seq1...tet_rpg	Latent	NA
GCA_016031615.1_ASM1603161v1_JACYXC010000001.1_seq1...tet_rpg	Latent	NA
GCA_025165795.1_ASM2516579v1_JAJAGO010000020.1_seq1...tet_rpg	Latent	NA
GCA_035961655.1_ASM3596165v1_CP108393.1_seq1...tet_rpg	Latent	NA
GCA_036269565.1_ASM3626956v1_DATBEK010000218.1_seq1...tet_rpg	Latent	NA
GCA_003311645.1_ASM331164v1_QEST01000137.1_seq1...tet_rpg	Latent	NA
GCA_014212055.1_ASM1421205v1_JACJVO010000024.1_seq1...tet_rpg	Latent	NA
GCA_014646335.1_ASM1464633v1_BMNG01000001.1_seq1...tet_rpg	Latent	NA
GCA_033795305.1_ASM3379530v1_JARBAE010000009.1_seq1...tet_rpg	Latent	NA
GCA_900116125.1_IMG.taxon_2690315656_annotated_assembly_FPAD01000005.1_seq1...tet_rpg	Latent	NA
GCA_002262885.1_ASM226288v1_NKYF01000017.1_seq1...tet_rpg	Latent	NA
GCA_004151105.1_ASM415110v1_PHRF01000035.1_seq1...tet_rpg	Latent	NA
GCA_009908195.1_ASM990819v1_JAAAHS010000508.1_seq1...tet_rpg	Latent	NA
GCA_019510245.1_ASM1951024v1_JAEKKT010000117.1_seq1...tet_rpg	Latent	NA
GCA_020176795.1_ASM2017679v1_JAIUKE010000473.1_seq1...tet_rpg	Latent	NA
GCA_030817535.1_ASM3081753v1_JAUSZL010000002.1_seq1...tet_rpg	Latent	NA
GCA_035995295.1_ASM3599529v1_DASYKP010000210.1_seq1...tet_rpg	Latent	NA
GCA_001642995.1_ASM164299v1_LOHS01000088.1_seq1...tet_rpg	Latent	NA
GCA_002128305.1_ASM212830v1_CP021121.1_seq1...tet_rpg	Latent	NA
GCA_004348545.1_ASM434854v1_SMKL01000048.1_seq1...tet_rpg	Latent	NA
GCA_014203645.1_ASM1420364v1_JACHJL010000030.1_seq1...tet_rpg	Latent	NA
GCA_023277745.1_ASM2327774v1_CP086322.1_seq1...tet_rpg	Latent	NA
GCA_023703325.1_ASM2370332v1_JAMQGM010000016.1_seq1...tet_rpg	Latent	NA
GCA_026340885.1_ASM2634088v1_JAPEOV010000001.1_seq1...tet_rpg	Latent	NA
GCA_036327775.1_ASM3632777v1_CP109598.1_seq1...tet_rpg	Latent	NA
GCA_000721715.1_ASM72171v1_JOJO01000001.1_seq1...tet_rpg	Latent	NA
GCA_009811555.1_ASM981155v1_BLIN01000001.1_seq1...tet_rpg	Latent	NA
GCA_014191935.1_ASM1419193v1_JACHXF010000013.1_seq1...tet_rpg	Latent	NA
GCA_015751905.1_ASM1575190v1_JADOUF010000001.1_seq1...tet_rpg	Latent	NA
GCA_019090165.1_ASM1909016v1_JAHRIB010000045.1_seq1...tet_rpg	Latent	NA
GCA_030766935.1_ASM3076693v1_JASERL010000015.1_seq1...tet_rpg	Latent	NA
GCA_000010605.1_ASM1060v1_AP009493.1_seq1...tet_rpg	Latent	NA
GCA_001953885.1_ASM195388v1_MQUS01000001.1_seq1...tet_rpg	Latent	NA
GCA_004348315.1_ASM434831v1_SMKC01000049.1_seq1...tet_rpg	Latent	NA
GCA_021190915.1_ASM2119091v1_JAIOAP010000011.1_seq1...tet_rpg	Latent	NA
GCA_026341035.1_ASM2634103v1_JAPEOQ010000002.1_seq1...tet_rpg	Latent	NA
GCA_028765165.1_ASM2876516v1_JARADB010000005.1_seq1...tet_rpg	Latent	NA
GCA_031845565.1_ASM3184556v1_JAVREV010000019.1_seq1...tet_rpg	Latent	NA
GCA_036158715.1_ASM3615871v1_CP108023.1_seq1...tet_rpg	Latent	NA
GCA_036227265.1_ASM3622726v1_CP109446.1_seq1...tet_rpg	Latent	NA
GCA_000504285.1_ASM50428v1_KI632511.1_seq1...tet_rpg	Latent	NA
GCA_001280085.1_ASM128008v1_LGED01000229.1_seq1...tet_rpg	Latent	NA
GCA_005869875.1_ASM586987v1_VAWG01000012.1_seq1...tet_rpg	Latent	NA
GCA_014212015.1_ASM1421201v1_JACJVN010000021.1_seq1...tet_rpg	Latent	NA
GCA_018861505.1_ASM1886150v1_JAHLDH010000005.1_seq1...tet_rpg	Latent	NA
GCA_019890645.1_ASM1989064v1_JAIOAC010000002.1_seq1...tet_rpg	Latent	NA
GCA_026810505.1_ASM2681050v1_CP101750.1_seq1...tet_rpg	Latent	NA
GCA_036353415.1_ASM3635341v1_JAZEWV010000048.1_seq1...tet_rpg	Latent	NA
GCA_037034285.1_ASM3703428v1_JBAGJZ010000013.1_seq1...tet_rpg	Latent	NA
GCA_000722355.1_ASM72235v1_JOIA01000390.1_seq1...tet_rpg	Latent	NA
GCA_001011035.1_ASM101103v1_CP011492.1_seq1...tet_rpg	Latent	NA
GCA_011045075.1_ASM1104507v1_JAAKZZ010000037.1_seq1...tet_rpg	Latent	NA
GCA_018138425.1_ASM1813842v1_JAGSMN010000365.1_seq1...tet_rpg	Latent	NA
GCA_020169515.1_ASM2016951v1_JAHMHW010000006.1_seq1...tet_rpg	Latent	NA
GCA_024927965.1_ASM2492796v1_CP103871.1_seq1...tet_rpg	Latent	NA
GCA_032248595.1_ASM3224859v1_JASTTH010000001.1_seq1...tet_rpg	Latent	NA
GCA_902703175.1_F300_CACRYJ010000060.1_seq1...tet_rpg	Latent	NA
GCA_002742045.1_ASM274204v1_MVDM01000007.1_seq1...tet_rpg	Latent	NA
GCA_003149195.1_ASM314919v1_QGDN01000002.1_seq1...tet_rpg	Latent	NA
GCA_003261635.1_ASM326163v1_QFXK01000036.1_seq1...tet_rpg	Latent	NA
GCA_017592475.1_ASM1759247v1_JAGFNP010000002.1_seq1...tet_rpg	Latent	NA
GCA_022221585.1_ASM2222158v1_CP084681.1_seq1...tet_rpg	Latent	NA
GCA_002234615.1_ASM223461v1_NMQW01000002.1_seq1...tet_rpg	Latent	NA
GCA_002573955.1_ASM257395v1_PDIX01000465.1_seq1...tet_rpg	Latent	NA
GCA_004193175.1_ASM419317v1_SAUH01000001.1_seq1...tet_rpg	Latent	NA
GCA_004764705.1_ASM476470v1_SHLX01000010.1_seq1...tet_rpg	Latent	NA
GCA_011044975.1_ASM1104497v1_JAAKZV010000081.1_seq1...tet_rpg	Latent	NA
GCA_012034175.1_ASM1203417v1_JAATEJ010000028.1_seq1...tet_rpg	Latent	NA
GCA_014650035.1_ASM1465003v1_BMUE01000004.1_seq1...tet_rpg	Latent	NA
GCA_018603905.1_ASM1860390v1_JAHFZZ010000018.1_seq1...tet_rpg	Latent	NA
GCA_020740535.1_ASM2074053v1_CP082362.1_seq1...tet_rpg	Latent	NA
GCA_025060755.1_ASM2506075v1_JANYUY010000001.1_seq1...tet_rpg	Latent	NA
GCA_036566125.1_ASM3656612v1_DATCWX010000354.1_seq1...tet_rpg	Latent	NA
GCA_900107965.1_IMG.taxon_2667527441_annotated_assembly_FNVU01000020.1_seq1...tet_rpg	Latent	NA
GCA_900142575.1_IMG.taxon_2667527448_annotated_assembly_FRBI01000018.1_seq1...tet_rpg	Latent	NA
GCA_902485105.1_UHGG.TPA_MGYG.HGUT.03359_CABTJL010000043.1_seq1...tet_rpg	Latent	NA
GCA_002119195.1_ASM211919v1_MIGA01000052.1_seq1...tet_rpg	Latent	NA
GCA_003475265.1_ASM347526v1_QRPL01000009.1_seq1...tet_rpg	Established	tet(Q)
GCA_005517195.1_ASM551719v1_CP040244.1_seq1...tet_rpg	Latent	NA
GCA_008042075.1_ASM804207v1_RDBN01000043.1_seq1...tet_rpg	Latent	NA
GCA_013912435.1_ASM1391243v1_JACEQY010000022.1_seq1...tet_rpg	Latent	NA
GCA_014205295.1_ASM1420529v1_JACHNF010000001.1_seq2...tet_rpg	Latent	NA
GCA_035650855.1_ASM3565085v1_DASRGV010000066.1_seq1...tet_rpg	Latent	NA
GCA_000340335.2_ASM34033v2_KB405095.1_seq1...tet_rpg	Latent	NA
GCA_003014735.1_ASM301473v1_PYAX01000011.1_seq1...tet_rpg	Latent	NA
GCA_003696235.1_ASM369623v1_RFFJ01000051.1_seq1...tet_rpg	Latent	NA
GCA_004801405.1_ASM480140v1_SSOB01000002.1_seq1...tet_rpg	Latent	NA
GCA_007827595.1_ASM782759v1_VISR01000012.1_seq1...tet_rpg	Latent	NA
GCA_013408535.1_ASM1340853v1_JACBZA010000001.1_seq2...tet_rpg	Latent	NA
GCA_029625945.1_ASM2962594v1_JARTCA010000952.1_seq1...tet_rpg	Latent	NA
GCA_031845365.1_ASM3184536v1_JAVREL010000005.1_seq1...tet_rpg	Latent	NA
GCA_000715615.1_ASM71561v1_KL568963.1_seq1...tet_rpg	Latent	NA
GCA_003574445.1_ASM357444v1_KZ984554.1_seq1...tet_rpg	Latent	NA
GCA_004684775.1_ASM468477v1_SRIC01000416.1_seq1...tet_rpg	Latent	NA
GCA_011440305.1_ASM1144030v1_JAAOIW010000007.1_seq1...tet_rpg	Latent	NA
GCA_013407955.1_ASM1340795v1_JACCBU010000001.1_seq3...tet_rpg	Latent	NA
GCA_014212175.1_ASM1421217v1_JACJVR010000031.1_seq1...tet_rpg	Latent	NA
GCA_014649775.1_ASM1464977v1_BMTR01000007.1_seq1...tet_rpg	Latent	NA
GCA_014873875.1_ASM1487387v1_JADBEM010000001.1_seq1...tet_rpg	Latent	NA
GCA_015143375.1_ASM1514337v1_WXYD01000002.1_seq1...tet_rpg	Latent	NA
GCA_016741785.1_ASM1674178v1_JAERRL010000003.1_seq1...tet_rpg	Latent	NA
GCA_024612015.1_ASM2461201v1_CP102512.1_seq1...tet_rpg	Latent	NA
GCA_027533645.1_ASM2753364v1_JAQAGY010000010.1_seq1...tet_rpg	Latent	NA
GCA_036272435.1_ASM3627243v1_DATAYU010000094.1_seq1...tet_rpg	Latent	NA
GCA_036557545.1_ASM3655754v1_DATBHI010000212.1_seq1...tet_rpg	Latent	NA
GCA_947385345.1_ERR6760080_bin.87_metawrap_v1.3_MAG_CANDKQ010000033.1_seq1...tet_rpg	Established	tet(W)
GCA_000719135.1_ASM71913v1_JOEK01000002.1_seq1...tet_rpg	Latent	NA
GCA_001905505.1_ASM190550v1_LIPG01000004.1_seq1...tet_rpg	Latent	NA
GCA_002243345.3_ASM224334v3_CP022655.2_seq1...tet_rpg	Latent	NA
GCA_002711365.1_ASM271136v1_AQRG01000001.1_seq1...tet_rpg	Latent	NA
GCA_002846455.1_ASM284645v1_PJNA01000001.1_seq1...tet_rpg	Latent	NA
GCA_004028635.1_ASM402863v1_RQJW01000015.1_seq1...tet_rpg	Latent	NA
GCA_008120935.1_ASM812093v1_RDBO01000077.1_seq1...tet_rpg	Latent	NA
GCA_009769735.1_ASM976973v1_WSRO01000002.1_seq1...tet_rpg	Latent	NA
GCA_014874095.1_ASM1487409v1_JADBEB010000001.1_seq1...tet_rpg	Latent	NA
GCA_015690345.1_ASM1569034v1_JADPUN010000121.1_seq1...tet_rpg	Latent	NA
GCA_016862935.1_ASM1686293v1_BONX01000004.1_seq1...tet_rpg	Latent	NA
GCA_018139625.1_ASM1813962v1_JAGSOH010000073.1_seq1...tet_rpg	Latent	NA
GCA_018403305.1_ASM1840330v1_BOSK01000007.1_seq1...tet_rpg	Latent	NA
GCA_018919175.1_ASM1891917v1_JAHLQL010000008.1_seq1...tet_rpg	Latent	NA
GCA_019703895.1_ASM1970389v1_AP024135.1_seq1...tet_rpg	Latent	NA
GCA_028826105.1_ASM2882610v1_JAQGPL010000001.1_seq1...tet_rpg	Latent	NA
GCA_033792105.1_ASM3379210v1_JARAUO010000079.1_seq1...tet_rpg	Latent	NA
GCA_035828615.1_ASM3582861v1_JAYMZR010000092.1_seq1...tet_rpg	Latent	NA
GCA_000179195.1_ASM17919v1_ADXA01000027.1_seq1...tet_rpg	Latent	NA
GCA_001723065.1_ASM172306v1_MDCQ01000458.1_seq1...tet_rpg	Latent	NA
GCA_003233845.1_ASM323384v1_QKRB01000006.1_seq1...tet_rpg	Latent	NA
GCA_003386795.1_ASM338679v1_QTUC01000001.1_seq1...tet_rpg	Latent	NA
GCA_004000825.1_ASM400082v1_BILZ01000013.1_seq1...tet_rpg	Latent	NA
GCA_004348415.1_ASM434841v1_SMKI01000092.1_seq1...tet_rpg	Latent	NA
GCA_006334905.2_ASM633490v2_VDLZ02000020.1_seq1...tet_rpg	Latent	NA
GCA_009707365.1_ASM970736v1_CP046122.1_seq1...tet_rpg	Latent	NA
GCA_010119935.1_ASM1011993v1_CP048209.1_seq1...tet_rpg	Latent	NA
GCA_013363975.1_ASM1336397v1_JABWGN010000004.1_seq1...tet_rpg	Latent	NA
GCA_014646195.1_ASM1464619v1_BMMZ01000002.1_seq1...tet_rpg	Latent	NA
GCA_017354345.1_ASM1735434v1_JAFMRA010000150.1_seq1...tet_rpg	Latent	NA
GCA_017744595.1_ASM1774459v1_JAGIBA010000557.1_seq1...tet_rpg	Latent	NA
GCA_018885265.1_ASM1888526v1_CP076538.1_seq1...tet_rpg	Latent	NA
GCA_023701695.1_ASM2370169v1_JAJOZC010000001.1_seq1...tet_rpg	Latent	NA
GCA_026339975.1_ASM2633997v1_JAPEPU010000001.1_seq1...tet_rpg	Latent	NA
GCA_026339995.1_ASM2633999v1_JAPEPT010000006.1_seq1...tet_rpg	Latent	NA
GCA_027622875.1_ASM2762287v1_JAPZVP010000007.1_seq1...tet_rpg	Latent	NA
GCA_031844705.1_ASM3184470v1_CP134609.1_seq1...tet_rpg	Latent	NA
GCA_032055145.1_ASM3205514v1_DAMBRL010000045.1_seq1...tet_rpg	Latent	NA
GCA_900090145.1_IMG.taxon_2522125135_annotated_assembly_FMHI01000005.1_seq1...tet_rpg	Latent	NA
GCA_000372745.1_ASM37274v1_KB889640.1_seq1...tet_rpg	Latent	NA
GCA_000585395.1_ASM58539v1_KK073875.1_seq1...tet_rpg	Latent	NA
GCA_000719265.1_ASM71926v1_JOFL01000016.1_seq1...tet_rpg	Latent	NA
GCA_001905125.1_ASM190512v1_LWLE01000037.1_seq1...tet_rpg	Latent	NA
GCA_001905365.1_ASM190536v1_LIVO01000009.1_seq1...tet_rpg	Latent	NA
GCA_004348735.1_ASM434873v1_SMKT01000055.1_seq1...tet_rpg	Latent	NA
